Altium Designer Pick and Place Locations
C:\PCB Projects\POGO_Tester_Rev1\Project Outputs for POGO_Tester_Rev1\Pick Place for POGO_Tester_Rev1.txt

========================================================================================================================
File Design Information:

Date:       27/03/26
Time:       16:44
Revision:   21b400a5b5e5211d6903d3b9106582019c997708
Variant:    No variations
Units used: mm

Designator Comment            Layer       Footprint                                    Center-X(mm) Center-Y(mm) Rotation Description                
TP10       "TEST POINT"       TopLayer    250milx400mil                                35.2298      110.4138     180      "250milx400mil Square Pad" 
TP9        "TEST POINT"       BottomLayer 250milx400mil                                118.6688     168.0718     180      "250milx400mil Square Pad" 
TP8        "TEST POINT"       BottomLayer 250milx400mil                                35.2298      110.4138     180      "250milx400mil Square Pad" 
TP7        "TEST POINT"       BottomLayer 250milx400mil                                118.6688     128.1176     180      "250milx400mil Square Pad" 
TP6        "TEST POINT"       BottomLayer 250milx400mil                                118.6688     88.1634      180      "250milx400mil Square Pad" 
TP5        "TEST POINT"       TopLayer    250milx400mil                                118.6688     48.2092      180      "250milx400mil Square Pad" 
TP4        "TEST POINT"       TopLayer    250milx400mil                                118.6688     88.1634      180      "250milx400mil Square Pad" 
TP3        "TEST POINT"       TopLayer    250milx400mil                                118.6688     168.0718     180      "250milx400mil Square Pad" 
TP2        "TEST POINT"       BottomLayer 250milx400mil                                118.6688     48.2092      180      "250milx400mil Square Pad" 
TP1        "TEST POINT"       TopLayer    250milx400mil                                118.6688     128.1176     180      "250milx400mil Square Pad" 
R19H       RCS040239K0FKED    TopLayer    DEFAULT_RESISTOR_0402                        67.8965      187.9943     270      "RES 39K OHM 1% 1/3W 0402" 
R1H        RCS040239K0FKED    TopLayer    DEFAULT_RESISTOR_0402                        65.5343      174.1767     270      "RES 39K OHM 1% 1/3W 0402" 
R17F       RCS040239K0FKED    TopLayer    DEFAULT_RESISTOR_0402                        66.6242      134.8232     270      "RES 39K OHM 1% 1/3W 0402" 
R15F       RCS040239K0FKED    TopLayer    DEFAULT_RESISTOR_0402                        66.6242      138.8364     270      "RES 39K OHM 1% 1/3W 0402" 
R13F       RCS040239K0FKED    TopLayer    DEFAULT_RESISTOR_0402                        66.5480      143.0020     270      "RES 39K OHM 1% 1/3W 0402" 
R300A      RCS040239K0FKED    TopLayer    DEFAULT_RESISTOR_0402                        69.1157      187.9751     90       "RES 39K OHM 1% 1/3W 0402" 
R299A      RCS040239K0FKED    TopLayer    DEFAULT_RESISTOR_0402                        68.3283      189.9309     270      "RES 39K OHM 1% 1/3W 0402" 
R298A      RCS040239K0FKED    TopLayer    DEFAULT_RESISTOR_0402                        69.1157      191.8867     90       "RES 39K OHM 1% 1/3W 0402" 
R297A      RCS040239K0FKED    TopLayer    DEFAULT_RESISTOR_0402                        67.7441      161.8639     270      "RES 39K OHM 1% 1/3W 0402" 
R296A      RCS040239K0FKED    TopLayer    DEFAULT_RESISTOR_0402                        68.5315      164.0229     90       "RES 39K OHM 1% 1/3W 0402" 
R295A      RCS040239K0FKED    TopLayer    DEFAULT_RESISTOR_0402                        67.7949      165.8263     270      "RES 39K OHM 1% 1/3W 0402" 
